RFM_Score,Recency,Frequency,Monetary,Count
111,283.2631578947368,1.0,399.4736842105263,19
112,269.0,1.3333333333333333,1530.0,3
113,201.5,1.5,3675.0,4
114,226.0,1.5,6075.0,2
115,164.0,2.0,7800.0,1
121,209.0,2.0,532.0,5
122,207.6,2.0,1618.0,5
124,259.0,2.0,7380.0,2
132,212.2,3.2,1306.0,5
133,198.33333333333334,3.0,3846.6666666666665,3
134,160.5,3.0,5675.0,2
142,249.0,4.0,2170.0,1
143,183.33333333333334,4.0,3480.0,3
144,177.5,4.5,5990.0,2
155,181.0,5.0,9750.0,1
211,112.75,1.25,408.75,8
212,141.0,2.0,1000.0,1
214,122.0,1.5,6200.0,2
221,124.0,2.0,625.0,2
222,112.0,2.2857142857142856,1524.2857142857142,7
224,99.5,2.0,5750.0,2
225,125.5,2.0,7700.0,2
232,92.0,3.25,1532.5,4
233,141.75,3.25,3835.0,4
234,123.75,3.25,6497.5,4
241,95.0,4.0,510.0,1
242,108.5,4.0,1745.0,2
243,128.0,4.666666666666667,3680.0,3
244,133.0,4.333333333333333,6176.666666666667,3
245,114.33333333333333,4.0,10916.666666666666,3
252,93.0,5.0,1520.0,1
253,128.5,5.0,2635.0,2
254,110.0,6.666666666666667,6036.666666666667,3
255,99.5,5.75,9952.5,4
311,77.0,1.0,318.0,5
312,68.0,2.0,1100.0,1
313,75.0,2.0,3400.0,2
314,54.0,1.0,6000.0,1
321,75.0,2.25,607.5,4
322,68.0,2.3333333333333335,1858.3333333333333,6
323,55.5,3.0,3860.0,2
324,65.0,2.5,7220.0,2
325,69.0,2.0,7700.0,1
331,74.0,3.0,600.0,1
332,65.0,3.0,1552.5,4
333,63.4,3.2,3860.0,5
334,76.0,3.0,6250.0,3
335,56.0,4.0,9550.0,1
343,77.25,4.25,4032.5,4
344,55.0,4.0,6670.0,2
345,60.333333333333336,4.333333333333333,10246.666666666666,3
352,53.0,5.0,1670.0,1
353,64.33333333333333,7.0,4293.333333333333,3
354,67.5,5.25,6010.0,4
355,65.66666666666667,7.0,17616.666666666668,3
411,43.0,1.0,120.0,1
413,37.5,2.0,3500.0,2
414,52.0,1.0,6000.0,1
421,38.666666666666664,2.3333333333333335,746.6666666666666,3
422,41.666666666666664,2.3333333333333335,1593.3333333333333,3
423,28.0,3.0,2650.0,1
424,32.0,2.0,7600.0,1
425,43.0,2.3333333333333335,8033.333333333333,3
431,46.0,3.0,680.0,2
432,44.0,3.0,2300.0,1
433,39.0,3.0,4215.0,4
434,42.333333333333336,3.0,5403.333333333333,3
435,34.0,3.0,8600.0,1
442,40.0,4.2,1690.0,5
443,35.75,4.25,3595.0,4
444,38.6,4.6,6180.0,5
445,31.2,4.2,10002.0,5
452,42.0,5.0,2170.0,1
453,46.0,5.0,3250.0,1
454,36.5,6.0,5550.0,2
455,41.77777777777778,6.111111111111111,14210.0,9
511,10.0,1.25,232.5,4
513,25.0,1.0,4500.0,1
521,11.666666666666666,2.0,433.3333333333333,3
522,18.25,2.25,1787.5,4
532,14.5,3.0,2010.0,2
533,8.333333333333334,3.3333333333333335,3900.0,3
534,8.5,4.0,5525.0,2
535,6.75,3.25,8767.5,4
542,20.0,4.0,1930.0,1
543,14.0,5.0,3050.0,1
544,6.5,4.0,5720.0,2
545,13.0,4.125,9598.75,8
553,13.166666666666666,5.166666666666667,3170.0,6
554,8.375,6.375,5907.5,8
555,15.222222222222221,6.444444444444445,12996.666666666666,9
